2089	307	208
2090	307	223
2091	307	261
2092	307	274
2093	307	278
2094	307	312
2095	307	336
2096	307	368
2097	307	433
2098	307	450
2099	307	484
2100	308	205
2101	308	219
2102	308	254
2103	308	278
2104	308	280
2105	308	313
2106	308	323
2107	308	346
2108	308	447
2109	308	452
2110	308	455
2111	309	177
2112	309	185
2113	309	213
2114	309	324
2115	309	340
2116	309	342
2117	309	351
2118	309	375
2119	309	436
2120	309	458
2121	309	463
2122	309	481
2123	310	210
2124	310	227
2125	310	259
2126	310	266
2127	310	278
2128	310	312
2129	310	323
2130	310	356
2131	310	366
2132	310	437
2133	310	457
2134	310	476
2135	310	479
2136	311	209
2137	311	256
2138	311	274
2139	311	336
2140	311	337
2141	311	343
